"","yes_rsvp_count","name","time"
"1",26,"Coding for everyone",2015-11-23 13:30:00
"2",13,"Coding for women",2015-11-24 13:30:00
"3",6,"Coding for everyone",2015-11-30 13:30:00
"4",16,"Coding for everyone: South London",2015-12-02 14:00:00
"5",1,"Coding for everyone",2015-12-07 13:30:00
"6",5,"Coding for women",2015-12-08 13:30:00
"7",1,"Coding for everyone",2015-12-14 13:30:00
"8",6,"Coding for women",2015-12-15 13:30:00
"9",3,"Coding for everyone",2015-12-21 13:30:00
"10",2,"Coding for women",2015-12-22 13:30:00
"11",2,"Coding for everyone",2015-12-28 13:30:00
"12",1,"Coding for everyone",2016-01-04 13:30:00
"13",2,"Coding for women",2016-01-05 13:30:00
"14",4,"Coding for everyone",2016-01-11 13:30:00
"15",1,"Coding for everyone",2016-01-18 13:30:00
"16",3,"Coding for women",2016-01-19 13:30:00
"17",1,"Coding for everyone",2016-01-25 13:30:00
"18",1,"Coding for everyone",2016-02-01 13:30:00
"19",3,"Coding for women",2016-02-02 13:30:00
"20",1,"Coding for everyone",2016-02-08 13:30:00
"21",1,"Coding for everyone",2016-02-15 13:30:00
"22",2,"Coding for women",2016-02-16 13:30:00
"23",1,"Coding for everyone",2016-02-22 13:30:00
"24",1,"Coding for everyone",2016-02-29 13:30:00
"25",2,"Coding for women",2016-03-01 13:30:00
"26",1,"Coding for everyone",2016-03-07 13:30:00
"27",1,"Coding for everyone",2016-03-14 14:30:00
"28",2,"Coding for women",2016-03-15 14:30:00
"29",1,"Coding for everyone",2016-03-21 14:30:00
"30",1,"Coding for everyone",2016-03-28 13:30:00
"31",2,"Coding for women",2016-03-29 13:30:00
"32",1,"Coding for everyone",2016-04-04 13:30:00
"33",1,"Coding for everyone",2016-04-11 13:30:00
"34",2,"Coding for women",2016-04-12 13:30:00
"35",1,"Coding for everyone",2016-04-18 13:30:00
"36",1,"Coding for everyone",2016-04-25 13:30:00
"37",2,"Coding for women",2016-04-26 13:30:00
"38",1,"Coding for everyone",2016-05-02 13:30:00
"39",1,"Coding for everyone",2016-05-09 13:30:00
"40",2,"Coding for women",2016-05-10 13:30:00
"41",1,"Coding for everyone",2016-05-16 13:30:00
"42",1,"Coding for everyone",2016-05-23 13:30:00
"43",2,"Coding for women",2016-05-24 13:30:00
"44",1,"Coding for everyone",2016-05-30 13:30:00
"45",1,"Coding for everyone",2016-06-06 13:30:00
"46",2,"Coding for women",2016-06-07 13:30:00
"47",1,"Coding for everyone",2016-06-13 13:30:00
"48",1,"Coding for everyone",2016-06-20 13:30:00
"49",2,"Coding for women",2016-06-21 13:30:00
"50",1,"Coding for everyone",2016-06-27 13:30:00
"51",1,"Coding for everyone",2016-07-04 13:30:00
"52",2,"Coding for women",2016-07-05 13:30:00
"53",1,"Coding for everyone",2016-07-11 13:30:00
"54",1,"Coding for everyone",2016-07-18 13:30:00
"55",2,"Coding for women",2016-07-19 13:30:00
"56",1,"Coding for everyone",2016-07-25 13:30:00
"57",1,"Coding for everyone",2016-08-01 13:30:00
"58",2,"Coding for women",2016-08-02 13:30:00
"59",1,"Coding for everyone",2016-08-08 13:30:00
"60",1,"Coding for everyone",2016-08-15 13:30:00
"61",2,"Coding for women",2016-08-16 13:30:00
"62",1,"Coding for everyone",2016-08-22 13:30:00
"63",1,"Coding for everyone",2016-08-29 13:30:00
"64",2,"Coding for women",2016-08-30 13:30:00
"65",1,"Coding for everyone",2016-09-05 13:30:00
"66",1,"Coding for everyone",2016-09-12 13:30:00
"67",2,"Coding for women",2016-09-13 13:30:00
"68",1,"Coding for everyone",2016-09-19 13:30:00
"69",1,"Coding for everyone",2016-09-26 13:30:00
"70",2,"Coding for women",2016-09-27 13:30:00
"71",1,"Coding for everyone",2016-10-03 13:30:00
"72",1,"Coding for everyone",2016-10-10 13:30:00
"73",2,"Coding for women",2016-10-11 13:30:00
"74",1,"Coding for everyone",2016-10-17 13:30:00
"75",1,"Coding for everyone",2016-10-24 13:30:00
"76",2,"Coding for women",2016-10-25 13:30:00
"77",1,"Coding for everyone",2016-10-31 14:30:00
"78",2,"Coding for women",2016-11-08 13:30:00
